year,passengers
2000,33621273
2001,31668450
2002,30060241
2003,29595618
2004,30165197
2005,31008453
2006,32533974
2007,33740416
2008,34063531
2009,33886025
2010,35698025
2011,38314389
2012,39467444
2013,40562948
2014,40941879
2015,44350247
2016,44584603
