year,passengers
2000,23073894
2001,23177555
2002,23597926
2003,23062570
2004,25162943
2005,28206052
2006,29693949
2007,33165688
2008,34739020
2009,34536666
2010,38254207
2011,39043708
2012,41228372
2013,43456310
2014,44279504
2015,44876627
2016,44422022
