year,passengers
1999,13721684
2000,13790115
2001,12703676
2002,12241975
2003,12396068
2004,13038057
2005,12879701
2006,14043489
2007,14654222
2008,14299234
2009,12929675
2010,13192857
2011,13675924
2012,14390750
2013,15029569
2014,15916512
2015,16850952
2016,18352767
