year,passengers
2001,24553310
2002,24799470
2003,24671075
2004,28507420
2005,31495385
2006,31768272
2007,32211439
2008,31834725
2009,30669564
2010,30775961
2011,30839175
2012,30252816
2013,30504112
2014,30740242
2015,31444403
2016,30155090
