year,passengers
1995,28298215
1996,27408666
1997,30732871
1998,30803158
1999,33967819
2000,35535080
2001,32631463
2002,32477694
2003,32738900
2004,36229705
2005,36383514
2006,35972673
2007,36013478
2008,35135828
2009,31357388
2010,32377064
2011,32406159
2012,32242473
2013,32389544
2014,32513555
2015,33440112
2016,34401254
