year,passengers
2002,10935830
2003,10355975
2004,10733532
2005,10755978
2006,10708065
2007,10658389
2008,9717717
2009,8321750
2010,8246064
2011,8357384
2012,8296174
2013,8783319
2014,9385212
2015,9799427
2016,10796725
