year,passengers
1996,32296174
1997,34969837
1998,36831400
1999,38034017
2000,38751687
2001,36092806
2002,35652084
2003,37505267
2004,42275913
2005,43387369
2006,47326506
2007,49863352
2008,51245334
2009,50167485
2010,51985038
2011,52849132
2012,53156278
2013,52556359
2014,52472514
2015,54014502
2016,58266515
